sentiment_numeric,word_count,num_stop_words,num_chars,num_punctuation_chars,category_gaming,category_movies,category_music,category_technology,hour,weekday,month,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
0,9,0,36,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0,28,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22,7,143,10,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0
-1,6,2,34,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,16,6,93,6,0.0,0.0,1.0,0.0,14,6,7,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
0,6,0,28,0,0.0,0.0,1.0,0.0,14,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,1,21,0,0.0,0.0,1.0,0.0,14,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,14,0,55,0,0.0,0.0,1.0,0.0,14,6,7,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
-1,3,2,14,0,0.0,0.0,1.0,0.0,14,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0,14,0,0.0,0.0,1.0,0.0,14,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0,18,0,0.0,0.0,1.0,0.0,14,6,7,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
0,7,0,34,0,0.0,0.0,1.0,0.0,14,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,3,26,0,0.0,0.0,1.0,0.0,14,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,1,46,0,0.0,0.0,1.0,0.0,14,6,7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
1,2,0,14,3,0.0,0.0,1.0,0.0,14,6,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,8,0,35,0,0.0,0.0,1.0,0.0,14,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
